"r0","Development",
"r0","06", "Endless load screen",
"r0","07", "2005 Prototype Intro Cutscene Waka Lake",
"r0","10", "Item Test Map - Items 0x00-0x7F",
"r0","11", "Item Test Map - Items 0x80-0xFF",
"r0","20", "Brush Interaction Test Map 1 - Large Animals",
"r0","21", "Brush Interaction Test Map 2 - Small Animals",
"r0","30", "Brush Interaction Test Map 3 - Wheel Enemies",
"r0","31", "Brush Interaction Test Map 4 - Bull Enemies",
"r0","32", "Brush Interaction Test Map 5 - Empty",
"r0","33", "Brush Interaction Test Map 6 - Empty",
"r0","34", "Brush Interaction Test Map 7 - Blue Cylinder",
"r0","ff", "Collision and Movement Test Map",

"r1","Eastern Nippon",
"r1","00","Kamiki Village - Game Start",
"r1","01","Cave of Nagi",
"r1","02","Kamiki Village",
"r1","03","Hana Valley",
"r1","04","Tsuta Ruins",
"r1","05","City Checkpoint",
"r1","06","Tsuta Ruins - Spider Queen Arena",
"r1","07","Gale Shrine",
"r1","08","Kusa Village",
"r1","09","Sasa Sanctuary",
"r1","0a","Agata Forest - Madame Fawn's House",
"r1","0b","Digging Minigame",
"r1","0c","Onigiri Dojo Lesson Room",
"r1","0d","Gale Shrine - Crimson Helm Arena",
"r1","0e","Calcified Cavern",
"r1","10","Moon Cave - Interior",
"r1","11","Moon Cave - Staircase and Orochi Arena",
"r1","12","Kamiki Village - After fighting Tei",
"r1","13","Ryoshima Coast - Bandit Spider Arena",
"r1","14","Taka Pass - Stray Bead #26 Cave",
"r1","15","Kamui - Cherry Bomb 3 Cave",
"r1","16","N. Ryoshima Coast - Power Slash 2 Cave",
"r1","17","N. Ryoshima Coast - Cherry Bomb 2 Cave",
"r1","18","Kamui (Ezofuji) - Power Slash 3 Cave",
"r1","19","Kamui - Blockhead Grande Cave",
"r1","1a","N. Ryoshima Coast - Bandit Spider Arena",
"r1","1b","Kamui - Bandit Spider Arena",
"r1","1c","Dragon Palace - Stray Bead #70 Cave",
"r1","1d","N. Ryoshima Coast - Stray Bead #63 Cave",
"r1","20","New Game Intro Cutscene Map",
"r1","21","Beta Kamiki",
"r1","22","River of the Heavens",

"r2","Western Nippon",
"r2","00","Sei-an City (Aristocratic Qtr.)",
"r2","01","Sei-an City (Commoners Qtr.)",
